number,number,number,string,string,string,number,number,number,string,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,string,string,string
1000,291,180,https://patchwiki.biligame.com/images/langrisser/thumb/f/f2/t3fjdf0fr55wlqgovst7j2jhm7gv4tn.png/82px-%E5%A4%B4%E5%83%8F_%E5%86%B0%E6%B8%8A%E5%87%8C%E5%BE%A1%E8%80%85.png,凌踏的冰爪,6791a07df1014a639fcca74f,589,90,90,冰渊凌御者,4523,326,150,20,30,253,0,0,0,0,0,0,0.35,0.4,0.2,0.15,主动攻击进入战斗时，部队遭受伤害降低10%。,与血量百分比低于自身的部队交战时，进入战斗后伤害提升10%。,典藏骑兵
1000,346,134,https://patchwiki.biligame.com/images/langrisser/thumb/f/f2/t3fjdf0fr55wlqgovst7j2jhm7gv4tn.png/82px-%E5%A4%B4%E5%83%8F_%E5%86%B0%E6%B8%8A%E5%87%8C%E5%BE%A1%E8%80%85.png,御空的霜翼,6791a07df1014a639fcca750,589,90,90,冰渊凌御者,4204,289,150,20,30,253,0,0,0,0,0,0,0.35,0.4,0.2,0.15,受到具有“弱化效果”的部队攻击进入战斗时，遭受伤害降低10%。,在天空时，范围伤害提升10%。,典藏飞兵
1000,326,150,https://patchwiki.biligame.com/images/langrisser/thumb/d/df/e9ivqvzu3r8ku72898koibsylmel1kt.png/82px-%E5%A4%B4%E5%83%8F_%E8%90%A8%E8%8A%99%E7%90%B3.png,自然共鸣者,6791a07df1014a639fcca752,589,90,90,萨芙琳,3958,280,150,20,30,313,0,0,0,0,0,0,0.2,0.4,0.15,0.25,部队血量100%时，遭受伤害降低10%。,与血量百分比低于自身的部队交战时，进入战斗后伤害提升10%。,僧侣
1000,281,158,https://patchwiki.biligame.com/images/langrisser/thumb/9/99/5p344dpaefbqpwqkni0seubhzb0b5ju.png/82px-%E5%A4%B4%E5%83%8F_%E8%AF%BA%E8%AF%BA%E7%90%B3.png,海礁统帅,6791a07df1014a639fcca753,249,90,90,诺诺琳,4786,335,30,20,150,588,0,0,0,0,0,0,0.3,0.35,0.25,0.15,被血量百分比高于自身的部队攻击时，进入战斗后遭受伤害降低10%。,在水中时，物理伤害提升10%。,步兵
1000,261,132,https://patchwiki.biligame.com/images/langrisser/thumb/9/99/5p344dpaefbqpwqkni0seubhzb0b5ju.png/82px-%E5%A4%B4%E5%83%8F_%E8%AF%BA%E8%AF%BA%E7%90%B3.png,驭潮将星,6791a07df1014a639fcca754,226,90,90,诺诺琳,4439,358,30,20,150,588,0,0,0,0,0,0,0.3,0.35,0.25,0.15,在水中时，遭受物理伤害降低10%。,受到近战攻击进入战斗时，伤害提升10%。,水兵
1000,352,100,https://patchwiki.biligame.com/images/langrisser/thumb/d/df/e9ivqvzu3r8ku72898koibsylmel1kt.png/82px-%E5%A4%B4%E5%83%8F_%E8%90%A8%E8%8A%99%E7%90%B3.png,元素召灵使,6791a07df1014a639fcca751,589,90,90,萨芙琳,3655,262,150,20,30,313,0,0,0,0,0,0,0.2,0.4,0.15,0.25,部队血量低于70%时，进入战斗后遭受伤害降低10%。,范围伤害提升10%。,法师
1000,365,100,https://patchwiki.biligame.com/images/langrisser/thumb/a/a4/5q14faikyvuydbdp5fw5itfydohjyqf.png/82px-%E5%A4%B4%E5%83%8F_%E4%BC%8A%E8%8E%89%E5%A8%85.png,巫师,6791a07df1014a639fcca755,578,90,90,伊莉娅,3648,252,150,20,30,251,0,0,0,0,0,0,0.2,0.4,0.15,0.25,部队血量低于70%时，进入战斗后遭受伤害降低10%。,本部队有5个以上增益效果时，进入战斗后伤害提升10%。,法师
1000,342,131,https://patchwiki.biligame.com/images/langrisser/thumb/a/a4/5q14faikyvuydbdp5fw5itfydohjyqf.png/82px-%E5%A4%B4%E5%83%8F_%E4%BC%8A%E8%8E%89%E5%A8%85.png,神运圣女,6791a07df1014a639fcca756,578,90,90,伊莉娅,3814,282,150,20,30,278,0,0,0,0,0,0,0.2,0.4,0.15,0.25,部队血量100%时，遭受伤害降低10%。,主动攻击血量百分比高于自身的部队时，进入战斗后伤害提升10%。,僧侣
1000,360,96,https://patchwiki.biligame.com/images/langrisser/thumb/b/ba/t0mocyng59fwptx2yu94sg449mirukj.png/82px-%E5%A4%B4%E5%83%8F_%E9%98%BF%E8%8E%89%E5%A8%85.png,圣者,6791a07df1014a639fcca757,565,90,90,阿莉娅,3152,292,150,20,30,294,0,0,0,0,0,0,0.25,0.35,0.15,0.25,本部队有5个以上增益效果时，进入战斗后遭受伤害降低10%。,与血量百分比低于自身的部队交战时，进入战斗后伤害提升10%。,僧侣
1000,360,96,https://patchwiki.biligame.com/images/langrisser/thumb/b/ba/t0mocyng59fwptx2yu94sg449mirukj.png/82px-%E5%A4%B4%E5%83%8F_%E9%98%BF%E8%8E%89%E5%A8%85.png,神眷者,6791a07df1014a639fcca758,565,90,90,阿莉娅,3446,271,150,20,30,270,0,0,0,0,0,0,0.25,0.35,0.15,0.25,部队血量低于70%时，进入战斗后遭受伤害降低10%。,本部队有5个以上增益效果时，进入战斗后伤害提升10%。,僧侣
1000,371,103,https://patchwiki.biligame.com/images/langrisser/thumb/c/c8/26g7gy7spomnd0p2pcrl0datwjqnzcc.png/82px-%E5%A4%B4%E5%83%8F_%E6%81%A9%E9%9B%85.png,星之女王,6791a07df1014a639fcca759,575,90,90,恩雅,3451,265,150,20,30,249,0,0,0,0,0,0,0.2,0.35,0.15,0.3,部队血量高于80%时，遭受暴击率降低10%。,治疗效果+10%。,僧侣
1000,396,103,https://patchwiki.biligame.com/images/langrisser/thumb/c/c8/26g7gy7spomnd0p2pcrl0datwjqnzcc.png/82px-%E5%A4%B4%E5%83%8F_%E6%81%A9%E9%9B%85.png,永序之誓,6791a07df1014a639fcca75a,575,90,90,恩雅,3765,245,150,20,30,249,0,0,0,0,0,0,0.2,0.35,0.15,0.3,主动攻击进入战斗时，部队遭受伤害降低10%。,本部队有5个以上的强化状态时，战斗中伤害提升10%。,法师
1000,320,137,https://patchwiki.biligame.com/images/langrisser/thumb/0/0e/073cdqpolgywlmb9b9z7czqqrq1k5md.png/82px-%E5%A4%B4%E5%83%8F_%E7%AA%81%E5%87%BB%E9%98%9F%E9%95%BF%26%E5%A4%A9%E6%89%8D%E5%A9%B4%E5%84%BF.png,突击队长,6791a07df1014a639fcca75b,260,90,90,突击队长&天才婴儿,4821,309,30,20,150,575,0,0,0,0,0,0,0.4,0.1,0.3,0.2,自身处于[危险范围]内，遭受暴击率降低10%。,本部队有6个以上强化状态时，范围伤害提升10%。,步兵
1000,285,163,https://patchwiki.biligame.com/images/langrisser/thumb/0/0e/073cdqpolgywlmb9b9z7czqqrq1k5md.png/82px-%E5%A4%B4%E5%83%8F_%E7%AA%81%E5%87%BB%E9%98%9F%E9%95%BF%26%E5%A4%A9%E6%89%8D%E5%A9%B4%E5%84%BF.png,天才婴儿,6791a07df1014a639fcca75c,260,90,90,突击队长&天才婴儿,4501,335,30,20,150,575,0,0,0,0,0,0,0.4,0.1,0.3,0.2,遭受范围伤害降低10%。,部队血量低于70%时，进入战斗后伤害提升10%。,步兵
1000,268,341,https://patchwiki.biligame.com/images/langrisser/thumb/5/59/q3l2cljquz47xjkfno8u0qeyya99of6.png/82px-%E5%A4%B4%E5%83%8F_%E5%B0%8F%E5%88%80%E9%A9%AC%E5%85%8B%26%E5%BF%8D%E8%80%85Ginzu.png,忍者Ginzu,6791a07df1014a639fcca75d,247,90,90,小刀马克&忍者Ginzu,3902,299,30,20,150,560,0,0,0,0,0,0,0.25,0.4,0.2,0.15,自身处于[危险范围]内，遭受暴击率降低10%。,部队血量100%时，暴击率提升10%,刺客
1000,289,262,https://patchwiki.biligame.com/images/langrisser/thumb/5/59/q3l2cljquz47xjkfno8u0qeyya99of6.png/82px-%E5%A4%B4%E5%83%8F_%E5%B0%8F%E5%88%80%E9%A9%AC%E5%85%8B%26%E5%BF%8D%E8%80%85Ginzu.png,小刀马克,6791a07df1014a639fcca75e,247,90,90,小刀马克&忍者Ginzu,4221,311,30,20,150,560,0,0,0,0,0,0,0.25,0.4,0.2,0.15,受到远程攻击时，遭受魔法伤害降低10%。,主动攻击进入战斗时，伤害提升10%。,刺客
1000,289,145,https://patchwiki.biligame.com/images/langrisser/thumb/f/f3/r66935ujhl8wtya0z3hm54h6fsqgwfm.png/30px-%E4%B8%BB%E8%A7%92%E5%85%89%E7%8E%AF.png,剑士统帅,6791a07df1014a639fcca75f,237,90,90,席昂,4968,322,30,20,150,594,0,0,0,0,0,0,0.3,0.4,0.15,0.2,部队血量100%时，遭受伤害降低10%。,主动攻击血量百分比高于自身的部队时，进入战斗后伤害提升10%。,步兵
1000,270,122,https://patchwiki.biligame.com/images/langrisser/thumb/f/f3/r66935ujhl8wtya0z3hm54h6fsqgwfm.png/30px-%E4%B8%BB%E8%A7%92%E5%85%89%E7%8E%AF.png,骑士统帅,6791a07df1014a639fcca760,216,90,90,席昂,4617,299,30,20,150,594,0,0,0,0,0,0,0.3,0.4,0.15,0.2,主动攻击进入战斗时，部队遭受伤害降低10%。,受到近战攻击进入战斗时，伤害提升10%。,骑兵
1000,253,154,https://patchwiki.biligame.com/images/langrisser/thumb/2/21/s86wp4xdca7iq446l4f5achsmlqdng0.png/82px-%E5%A4%B4%E5%83%8F_%E9%98%BF%E5%B0%94%E6%B3%95.png,剑士统帅,6791a07df1014a639fcca761,256,90,90,阿尔法,3933,321,30,20,150,579,0,0.05,0,0.05,0,0,0.1,0.4,0.25,0.25,主动攻击进入战斗时，部队遭受伤害降低10%。,受到近战攻击进入战斗时，伤害提升10%。,步兵
1000,282,148,https://patchwiki.biligame.com/images/langrisser/thumb/3/34/34xi9him8owdl7ttbanqd9vvno9fwnm.png/82px-%E5%A4%B4%E5%83%8F_%E9%98%BF%E5%B0%94%E5%BC%97%E9%9B%B7%E5%BE%B7.png,剑士统帅,6791a07df1014a639fcca763,249,90,90,阿尔弗雷德,4257,346,30,20,150,523,0,0.1,0,0,0,0,0.2,0.3,0.35,0.1,遭受范围伤害降低10%。,主动攻击血量百分比低于自身的部队时，进入战斗后伤害提升10%。,步兵
1000,264,113,https://patchwiki.biligame.com/images/langrisser/thumb/3/34/34xi9him8owdl7ttbanqd9vvno9fwnm.png/82px-%E5%A4%B4%E5%83%8F_%E9%98%BF%E5%B0%94%E5%BC%97%E9%9B%B7%E5%BE%B7.png,海骑统帅,6791a07df1014a639fcca764,226,90,90,阿尔弗雷德,4257,346,30,20,150,523,0,0.1,0,0,0,0,0.2,0.3,0.35,0.1,在水中时，遭受魔法伤害降低10%。,在水中时，暴击率提升10%。,水兵
1000,340,110,https://patchwiki.biligame.com/images/langrisser/thumb/f/fb/2ldtqpclh07gsveb2cer2gvh3tvslri.png/82px-%E5%A4%B4%E5%83%8F_%E9%98%BF%E5%8D%A1%E8%8F%B2%E5%B0%94.png,孤高的超王,6791a07df1014a639fcca765,590,90,90,阿卡菲尔,4105,291,150,20,30,260,0,0,0,0,0,0,0.3,0.35,0.25,0.1,自身处于[危险范围]内，遭受暴击率降低10%。,部队血量100%时，伤害提高10%。,魔物
1000,220,172,https://patchwiki.biligame.com/images/langrisser/thumb/2/21/s86wp4xdca7iq446l4f5achsmlqdng0.png/82px-%E5%A4%B4%E5%83%8F_%E9%98%BF%E5%B0%94%E6%B3%95.png,紫晶统帅,6791a07df1014a639fcca762,233,90,90,阿尔法,4863,357,30,20,150,579,0,0.05,0,0.05,0,0,0.1,0.4,0.25,0.25,受到远程攻击进入战斗时，遭受伤害降低10%。,与具有弱化效果的部队战斗时，伤害提升10%。,枪兵
800,337,109,https://patchwiki.biligame.com/images/langrisser/thumb/1/16/3lhdby1p6vw5p1yyee42zd9255dk3ox.png/82px-%E5%A4%B4%E5%83%8F_%E9%98%BF%E5%8D%A1%E5%A8%85.png,西卡招魂师,6791a07df1014a639fcca766,532,90,90,阿卡娅,3513,267,150,20,110,455,0,0.05,0.05,0,0,0,0.25,0.25,0.25,0.25,部队血量低于70%时，进入战斗后遭受伤害降低10%。,部队血量低于70%时，伤害提升10%。,法师
800,281,146,https://patchwiki.biligame.com/images/langrisser/thumb/1/16/3lhdby1p6vw5p1yyee42zd9255dk3ox.png/82px-%E5%A4%B4%E5%83%8F_%E9%98%BF%E5%8D%A1%E5%A8%85.png,西卡圣女,6791a07df1014a639fcca767,464,90,90,阿卡娅,3812,287,150,20,110,552,0,0.05,0.05,0,0,0,0.25,0.25,0.25,0.25,主动攻击进入战斗时，部队遭受伤害降低10%。,受到攻击进入战斗时，伤害提升10%。,骑兵
1000,321,187,https://patchwiki.biligame.com/images/langrisser/thumb/3/3b/mb9qxlpelu6rgzc1lmvq5rmcvuuf6k7.png/82px-%E5%A4%B4%E5%83%8F_%E9%98%BF%E9%9B%B7%E6%96%AF.png,龙骑统帅,6791a07df1014a639fcca768,228,90,90,阿雷斯,4096,305,30,20,150,599,0,0.05,0,0,0,0,0.15,0.4,0.3,0.15,部队血量低于70%时，进入战斗后遭受伤害降低10%。,部队血量低于70%时，进入战斗后伤害提升10%。,飞兵
1000,286,168,https://patchwiki.biligame.com/images/langrisser/thumb/3/3b/mb9qxlpelu6rgzc1lmvq5rmcvuuf6k7.png/82px-%E5%A4%B4%E5%83%8F_%E9%98%BF%E9%9B%B7%E6%96%AF.png,皇帝,6791a07df1014a639fcca769,249,90,90,阿雷斯,4415,329,30,20,150,567,0,0.05,0,0,0,0,0.15,0.4,0.3,0.15,部队血量高于80%时，遭受暴击率降低10%。,受到攻击进入战斗时，暴击伤害提升10%。,步兵
1000,186,103,https://patchwiki.biligame.com/images/langrisser/thumb/1/10/9c0l90kr9zttp8czdlltjz1qzx5br5k.png/82px-%E5%A4%B4%E5%83%8F_%E9%98%BF%E4%BC%A6.png,大元帅,6791a07df1014a639fcca76a,233,90,90,阿伦,4800,350,30,20,150,418,0,0,0,0,0,0,0.1,0.1,0.35,0.35,受到攻击进入战斗时，遭受魔法伤害降低10%。,受到近战攻击进入战斗时，伤害提升10%。,枪兵
1000,273,103,https://patchwiki.biligame.com/images/langrisser/thumb/b/b8/5w5izrwm4nmcz0qpo775bko43rkch4z.png/82px-%E5%A4%B4%E5%83%8F_%E9%98%BF%E7%8E%9B%E8%BF%AA%E6%96%AF.png,圣灵骁骑,6791a07df1014a639fcca76b,239,90,90,阿玛迪斯,4713,297,30,20,150,583,0,0,0,0,0,0,0.25,0.3,0.3,0.15,被血量百分比高于自身的部队攻击时，进入战斗后遭受伤害降低10%。,部队血量低于70%时，伤害提升10%。,骑兵
1000,245,103,https://patchwiki.biligame.com/images/langrisser/thumb/b/b8/5w5izrwm4nmcz0qpo775bko43rkch4z.png/82px-%E5%A4%B4%E5%83%8F_%E9%98%BF%E7%8E%9B%E8%BF%AA%E6%96%AF.png,荒野骑将,6791a07df1014a639fcca76c,239,90,90,阿玛迪斯,4368,285,30,20,150,614,0,0,0,0,0,0,0.25,0.3,0.3,0.15,自身处于[危险范围]内，遭受暴击率降低10%。,部队血量高于80%时，暴击伤害提升10%。,骑兵
1000,251,159,https://patchwiki.biligame.com/images/langrisser/thumb/1/15/jqpgbc2njjt1lidoco0xsckgia6cc90.png/82px-%E5%A4%B4%E5%83%8F_%E9%98%BF%E7%91%9E%E5%AE%89%E8%B5%AB%E5%BE%B7.png,枪之圣女,6791a07df1014a639fcca76d,241,90,90,阿瑞安赫德,4846,344,30,20,150,557,0,0,0,0,0,0,0.15,0.2,0.3,0.35,遭受范围伤害降低10%。,受到近战攻击进入战斗时，伤害提升10%。,枪兵
1000,341,159,https://patchwiki.biligame.com/images/langrisser/thumb/1/15/jqpgbc2njjt1lidoco0xsckgia6cc90.png/82px-%E5%A4%B4%E5%83%8F_%E9%98%BF%E7%91%9E%E5%AE%89%E8%B5%AB%E5%BE%B7.png,钢之圣女,6791a07df1014a639fcca76e,265,90,90,阿瑞安赫德,4207,307,30,20,150,557,0,0,0,0,0,0,0.15,0.2,0.3,0.35,受到攻击进入战斗时，遭受魔法伤害降低10%。,主动攻击血量百分比高于自身的部队时，进入战斗后伤害提升10%。,僧侣
1000,329,86,https://patchwiki.biligame.com/images/langrisser/thumb/1/1e/rxn6c3plhtfxlb53wvk71pknhlcm5e1.png/82px-%E5%A4%B4%E5%83%8F_%E5%9F%83%E6%A0%BC%E8%B4%9D%E5%B0%94%E7%89%B9.png,隐士,6791a07df1014a639fcca76f,444,90,90,埃格贝尔特,3651,275,150,20,30,307,0,0,0.05,0,0,0,0.35,0.1,0.15,0.35,部队血量低于70%时，遭受伤害降低10%。,主动攻击血量百分比高于自身的部队时，进入战斗后伤害提升10%。,法师
1000,351,74,https://patchwiki.biligame.com/images/langrisser/thumb/1/1e/rxn6c3plhtfxlb53wvk71pknhlcm5e1.png/82px-%E5%A4%B4%E5%83%8F_%E5%9F%83%E6%A0%BC%E8%B4%9D%E5%B0%94%E7%89%B9.png,黑暗统帅,6791a07df1014a639fcca770,471,90,90,埃格贝尔特,3490,275,150,20,30,278,0,0,0.05,0,0,0,0.35,0.1,0.15,0.35,受到具有“弱化效果”的部队攻击进入战斗时，遭受伤害降低10%。,受到远程攻击进入战斗时，伤害提升10%。,法师
1000,361,85,https://patchwiki.biligame.com/images/langrisser/thumb/c/c0/rgfd78lv4tzfw3lugbjfo6pwk85nyag.png/82px-%E5%A4%B4%E5%83%8F_%E8%89%BE%E5%B0%94%E7%8E%9B.png,圣者,6791a07df1014a639fcca771,462,90,90,艾尔玛,3595,278,150,20,30,333,0,0,0.05,0,0,0,0.2,0.1,0.3,0.4,被血量百分比高于自身的部队攻击时，进入战斗后遭受伤害降低10%。,受到远程攻击进入战斗时，伤害提升10%。,僧侣
1000,370,85,https://patchwiki.biligame.com/images/langrisser/thumb/c/c0/rgfd78lv4tzfw3lugbjfo6pwk85nyag.png/82px-%E5%A4%B4%E5%83%8F_%E8%89%BE%E5%B0%94%E7%8E%9B.png,神使,6791a07df1014a639fcca772,462,90,90,艾尔玛,3424,256,150,20,30,333,0,0,0.05,0,0,0,0.2,0.1,0.3,0.4,部队血量低于70%时，遭受伤害降低10%。,与具有弱化效果的部队战斗时，伤害提升10%。,僧侣
1000,270,130,https://patchwiki.biligame.com/images/langrisser/thumb/d/d5/5h0zrct11snd9ypj65q9li5peuazjk3.png/82px-%E5%A4%B4%E5%83%8F_%E8%89%BE%E5%B0%94%E6%96%87.png,光龙统帅,6791a07df1014a639fcca773,235,90,90,艾尔文,5006,340,30,20,150,578,0,0,0,0,0,0,0.15,0.35,0.35,0.15,主动攻击进入战斗时，部队遭受伤害降低10%。,部队血量低于70%时，伤害提升10%。,SP骑兵
1000,270,154,https://patchwiki.biligame.com/images/langrisser/thumb/d/d5/5h0zrct11snd9ypj65q9li5peuazjk3.png/82px-%E5%A4%B4%E5%83%8F_%E8%89%BE%E5%B0%94%E6%96%87.png,英雄,6791a07df1014a639fcca774,258,90,90,艾尔文,4822,356,30,20,150,573,0,0,0,0,0,0,0.15,0.35,0.35,0.15,部队血量高于80%时，进入战斗后遭受伤害降低10%。,部队血量高于80%时，进入战斗后伤害提升10%。,步兵
1000,217,116,https://patchwiki.biligame.com/images/langrisser/thumb/d/d5/5h0zrct11snd9ypj65q9li5peuazjk3.png/82px-%E5%A4%B4%E5%83%8F_%E8%89%BE%E5%B0%94%E6%96%87.png,大元帅,6791a07df1014a639fcca775,235,90,90,艾尔文,5129,378,30,20,150,544,0,0,0,0,0,0,0.15,0.35,0.35,0.15,与血量百分比低于自身的部队交战时，进入战斗后遭受伤害降低10%。,与血量百分比低于自身的部队交战时，进入战斗后伤害提升10%。,枪兵
1000,319,233,https://patchwiki.biligame.com/images/langrisser/thumb/0/08/ctqol7xvm4dfuywj3fiu68r8aidbrqt.png/82px-%E5%A4%B4%E5%83%8F_%E8%89%BE%E6%8B%89%E6%96%AF%E5%8D%93.png,游侠,6791a07df1014a639fcca777,244,90,90,艾拉斯卓,3418,253,30,20,150,563,0,0.05,0,0,0,0,0.2,0.35,0.35,0.1,遭受范围伤害降低10%。,受到远程攻击进入战斗时，伤害提升10%。,弓兵
1000,283,233,https://patchwiki.biligame.com/images/langrisser/thumb/0/08/ctqol7xvm4dfuywj3fiu68r8aidbrqt.png/82px-%E5%A4%B4%E5%83%8F_%E8%89%BE%E6%8B%89%E6%96%AF%E5%8D%93.png,狼骑统帅,6791a07df1014a639fcca776,244,90,90,艾拉斯卓,3418,244,30,20,150,591,0,0.05,0,0,0,0,0.2,0.35,0.35,0.1,部队血量低于70%时，进入战斗后遭受伤害降低10%。,受到近战攻击进入战斗时，伤害提升10%。,弓兵
1000,301,243,https://patchwiki.biligame.com/images/langrisser/thumb/7/75/aijtn25yaljw66qbxrj4fvtwmzh8qwn.png/82px-%E5%A4%B4%E5%83%8F_%E8%89%BE%E8%95%BE%E5%9B%A0.png,剑圣,6791a07df1014a639fcca778,274,90,90,艾蕾因,4154,318,30,20,150,605,0,0,0,0,0,0,0.3,0.35,0.2,0.15,遭受范围伤害降低10%。,主动攻击血量百分比高于自身的部队时，进入战斗后伤害提升10%。,步兵
1000,280,185,https://patchwiki.biligame.com/images/langrisser/thumb/7/75/aijtn25yaljw66qbxrj4fvtwmzh8qwn.png/82px-%E5%A4%B4%E5%83%8F_%E8%89%BE%E8%95%BE%E5%9B%A0.png,剑之少女,6791a07df1014a639fcca779,249,90,90,艾蕾因,4436,343,30,20,150,605,0,0,0,0,0,0,0.3,0.35,0.2,0.15,部队血量低于70%时，进入，战斗后遭受伤害降低10%。,范围伤害提升10%。,步兵
